Time,Hostname,Vehicles,CPU (%),RAM (%),Net (bytes),GPU (%),GPU Mem (MB)
1739203565.7822194,2d,19,35.8,88.0,3202273815,70,5940.015625
1739203566.2475696,2d,21,37.6,88.0,3202273921,70,5940.015625
1739203566.370166,2d,17,37.2,88.0,3202273921,75,5940.015625
1739203566.57612,2d,15,36.0,88.0,3202274026,75,5940.015625
1739203566.7020075,2d,25,37.4,88.0,3202274134,75,5940.015625
1739203566.8091483,2d,19,40.6,88.0,3202274190,75,5940.015625
1739203567.2774704,2d,21,40.1,88.0,3202282574,75,5940.015625
1739203567.3992682,2d,17,39.6,88.0,3202282630,72,5940.015625
1739203567.6001232,2d,15,42.6,88.0,3202282630,72,5940.015625
1739203567.723733,2d,25,41.2,88.1,3202282630,72,5940.015625
1739203567.834059,2d,19,40.4,88.1,3202282630,72,5940.015625
1739203568.3002355,2d,21,42.8,88.1,3202282751,72,5940.015625
1739203568.4232943,2d,17,44.4,88.0,3202282835,65,5940.015625
1739203568.6250432,2d,15,42.0,88.1,3202282918,65,5940.015625
1739203568.7529316,2d,25,40.3,88.1,3202283002,65,5940.015625
1739203568.8589516,2d,19,38.7,88.1,3202283002,65,5940.015625
1739203569.3275805,2d,21,37.0,88.0,3202283089,65,5940.015625
1739203569.4530864,2d,17,33.6,88.0,3202283089,76,5940.015625
1739203569.6552699,2d,15,32.2,88.1,3202283362,76,5940.015625
1739203569.7775927,2d,25,33.9,88.1,3202283362,76,5940.015625
1739203569.8859196,2d,19,35.7,88.1,3202283540,76,5940.015625
1739203570.356122,2d,21,34.3,88.1,3202283646,74,5940.015625
1739203570.4808419,2d,17,36.1,88.1,3202283646,74,5940.015625
1739203570.6809533,2d,15,38.5,88.1,3202283752,74,5940.015625
1739203570.8063202,2d,25,38.8,88.1,3202283752,74,5940.015625
1739203570.9148405,2d,19,36.9,88.1,3202283858,74,5940.015625
1739203571.3851604,2d,21,35.3,88.1,3202284069,76,5940.015625
1739203571.5077453,2d,17,35.2,88.1,3202284069,76,5940.015625
1739203571.7094743,2d,15,34.9,88.0,3202284364,76,5940.015625
1739203571.8354273,2d,25,33.5,87.9,3202284459,76,5940.015625
1739203571.9432375,2d,19,34.9,87.9,3202292439,76,5940.015625
1739203572.4122033,2d,21,40.0,87.9,3202343389,66,5940.015625
1739203572.533087,2d,17,40.0,87.9,3202360535,66,5940.015625
1739203572.7350614,2d,15,38.7,87.9,3202377284,66,5940.015625
1739203572.8602371,2d,25,38.0,87.9,3202394338,66,5940.015625
1739203572.9673896,2d,19,39.2,87.9,3202405651,66,5940.015625
1739203573.4318793,2d,21,34.6,87.9,3202450897,68,5940.015625
1739203573.5557845,2d,17,35.4,87.8,3202465040,68,5940.015625
1739203573.7578268,2d,15,34.8,87.8,3202465040,68,5940.015625
1739203573.8848264,2d,25,36.1,87.8,3202481264,68,5940.015625
1739203573.9920719,2d,19,34.4,87.8,3202493590,68,5940.015625
1739203574.4578354,2d,21,42.5,87.6,3202538434,71,5940.015625
1739203574.5823119,2d,17,40.4,87.1,3202546160,71,5940.015625
1739203574.7857187,2d,15,43.3,87.1,3202557263,71,5940.015625
1739203574.911525,2d,25,45.0,87.1,3202571289,71,5940.015625
1739203575.0188155,2d,19,43.7,87.1,3202574361,71,5940.015625
1739203575.489475,2d,21,37.2,87.1,3203094770,69,5940.015625
1739203575.614217,2d,17,40.5,87.4,3203177959,69,5940.015625
1739203575.8136072,2d,15,39.2,87.5,3204404101,69,5940.015625
1739203575.9401052,2d,25,39.3,87.6,3204410120,69,5940.015625
1739203576.050429,2d,19,40.3,87.5,3204416570,69,5940.015625
1739203576.5192068,2d,21,42.4,87.6,3204453276,63,5940.015625
1739203576.8510299,2d,15,42.6,87.7,3204496873,63,5940.015625
1739203577.0770612,2d,19,44.2,87.8,3204517654,63,5940.015625
1739203577.8772326,2d,15,57.5,88.3,3204572208,62,5940.015625
1739203578.110624,2d,19,61.2,88.2,3204585239,62,5940.015625
1739203578.9064615,2d,15,62.0,88.3,3204653723,77,5940.015625
1739203579.9260654,2d,15,44.5,86.9,3204739010,98,5882.015625
